iter	Logloss
0	0.6593245769
1	0.6302501984
2	0.6059343561
3	0.5862983148
4	0.5678290611
5	0.5517065455
6	0.5363850378
7	0.5171283084
8	0.503278985
9	0.4917117925
10	0.4822353727
11	0.4664755321
12	0.4521114994
13	0.4413317027
14	0.4277976634
15	0.4171118594
16	0.4102951897
17	0.4022647926
18	0.3956608833
19	0.3905052096
20	0.3842313309
21	0.3789191519
22	0.369801987
23	0.3622575894
24	0.3583810868
25	0.3507428883
26	0.345488652
27	0.3393969685
28	0.3337056811
29	0.327761216
30	0.3228827999
31	0.3162038713
32	0.3119126357
33	0.3101001908
34	0.3076272393
35	0.3041034574
36	0.3016370598
37	0.2952617037
38	0.2937767143
39	0.2921165491
40	0.2872903873
41	0.2849475057
42	0.2819372255
43	0.2780646449
44	0.2755664895
45	0.2722345828
46	0.2697708884
47	0.2682727193
48	0.2658293067
49	0.2608151449
50	0.2586605663
51	0.2570928449
52	0.2541969458
53	0.2508321657
54	0.2480456212
55	0.2448422495
56	0.2408089264
57	0.2380152831
58	0.2356682927
59	0.2336560702
60	0.2307315819
61	0.2293935591
62	0.2266229494
63	0.2241961704
64	0.2224905875
65	0.220005952
66	0.218197431
67	0.2160279014
68	0.2154201825
69	0.2140711795
70	0.2125253318
71	0.2115973972
72	0.2078804753
73	0.2064774541
74	0.2043190639
75	0.2020615457
76	0.2010548542
77	0.198533272
78	0.1972175854
79	0.1966544444
80	0.1945156837
81	0.193523181
82	0.1923572362
83	0.1902822905
84	0.1883131565
85	0.1854946307
86	0.1846148886
87	0.1838947118
88	0.1819136676
89	0.1807902198
90	0.1794711059
91	0.1782674549
92	0.1773502304
93	0.1765599858
94	0.1751534249
95	0.1738538921
96	0.1727528802
97	0.171032988
98	0.1691310804
99	0.1673077176
100	0.1657824561
101	0.1639921481
102	0.163373847
103	0.1623778154
104	0.1608733
105	0.1593387877
106	0.157588085
107	0.1560486166
108	0.1551831938
109	0.1547056917
110	0.153531359
111	0.1519015225
112	0.1492820885
113	0.1477635125
114	0.1467454071
115	0.1461343123
116	0.1447602403
117	0.1430521297
118	0.1408172467
119	0.139858092
120	0.1374550805
121	0.1357184499
122	0.1342585773
123	0.1329322272
124	0.1320310385
125	0.1312981644
126	0.1307145888
127	0.1295494371
128	0.1280517125
129	0.126873273
130	0.1255661397
131	0.1240100204
132	0.12315355
133	0.1215264557
134	0.1207273212
135	0.1196273537
136	0.1183679723
137	0.1169927077
138	0.1163786972
139	0.1144239789
140	0.1134332873
141	0.1127655562
142	0.1110068438
143	0.109661738
144	0.109398209
145	0.1080664337
146	0.1062376928
147	0.1058515395
148	0.104542634
149	0.10308307
150	0.1022471087
151	0.1014947343
152	0.1002380457
153	0.09957251991
154	0.09819332716
155	0.09756859907
156	0.09642059697
157	0.09517151078
158	0.09420571603
159	0.09354403805
160	0.09199456316
161	0.0908935586
162	0.09038962194
163	0.08845296589
164	0.08736178493
165	0.08610682879
166	0.08550756425
167	0.08464283615
168	0.08353488171
169	0.08236292686
170	0.08139637049
171	0.08047372539
172	0.07936851284
173	0.07875076729
174	0.07711895151
175	0.07644610812
176	0.0758302998
177	0.07486691536
178	0.07416310027
179	0.07325003863
180	0.07180564902
181	0.0708350022
182	0.06961957785
183	0.06848171337
184	0.06769201948
