datetime,timestamp,open,high,low,close,volume,close_lag_1,close_lag_2,return_1,return_3,ma_5,ma_10,volatility_5,volatility_10,roll_max_5,roll_min_5,rsi_14,macd,macd_signal,bb_middle,bb_upper,bb_lower,ema_10,ema_30,roc_10,golden_cross,slope_ma_5,volume_ma,volume_spike,tr,atr_14,hl_spread,co_spread,body_size,upper_wick,lower_wick,hour,minute,dayofweek,date,Upward,Downward,trend_target,combined_target,trend_label
2024-09-01 00:00:00,1725148800,135.35,135.62,134.97,135.36,24205.968,,,,,,,,,,,,0.0,0.0,,,,135.36,135.36,,0,,,0,0.6500000000000057,,0.6500000000000057,0.010000000000019327,0.010000000000019327,0.2599999999999909,0.37999999999999545,0,0,6,2024-09-01,0,0,0,1,none
2024-09-01 01:00:00,1725152400,135.37,135.5,133.5,133.63,72146.22000000002,135.36,,-0.012780732860520283,,,,,,,,,-0.13800569800571338,-0.027601139601142678,,,,135.04545454545456,135.24838709677422,,0,,,0,2.0,,2.0,-1.740000000000009,1.740000000000009,0.12999999999999545,0.12999999999999545,1,0,6,2024-09-01,0,0,0,1,none
2024-09-01 02:00:00,1725156000,133.62,133.96,132.88,133.96,145539.54200000002,133.63,135.36,0.0024695053505949804,,,,,,,,,-0.21823231954289213,-0.06572737558949257,,,,134.84809917355372,135.16526534859526,,0,,,0,1.0800000000000125,,1.0800000000000125,0.3400000000000034,0.3400000000000034,0.0,0.7400000000000091,2,0,6,2024-09-01,0,0,0,1,none
2024-09-01 03:00:00,1725159600,133.96,134.46,133.7,134.07,37414.564000000006,133.96,133.63,0.0008211406389966314,-0.009530141843971829,,,,,,,,-0.2698260279319129,-0.10654710605797664,,,,134.70662659654394,135.09460306804073,,0,,,0,0.7600000000000193,,0.7600000000000193,0.10999999999998522,0.10999999999998522,0.3900000000000148,0.2600000000000193,3,0,6,2024-09-01,0,-1,-1,0,down
2024-09-01 04:00:00,1725163200,134.07,134.09,133.33,133.71,32825.718,134.07,133.96,-0.0026851644663234975,0.000598667963780608,134.14600000000002,,,,135.36,133.63,,-0.3358914572631022,-0.15241597629900178,,,,134.52542176080868,135.00527383784456,,0,,,0,0.7599999999999909,,0.7599999999999909,-0.3599999999999852,0.3599999999999852,0.020000000000010232,0.37999999999999545,4,0,6,2024-09-01,0,0,0,1,down
2024-09-01 05:00:00,1725166800,133.7,133.91,131.09,131.59,190530.136,133.71,134.07,-0.01585520903447768,-0.017691848312929248,133.392,,0.00823978581465528,,134.07,131.59,,-0.5529411075110602,-0.23252100254141345,,,,133.99170871338893,134.78493359024168,,0,-0.7540000000000191,,0,2.819999999999993,,2.819999999999993,-2.109999999999985,2.109999999999985,0.21000000000000796,0.5,5,0,6,2024-09-01,1,0,1,2,down
2024-09-01 06:00:00,1725170400,131.59,132.78,131.49,132.7,67321.68299999999,131.59,133.71,0.008435291435519243,-0.010218542552398069,133.206,,0.00904485107892922,,134.07,131.59,,-0.6281459205827105,-0.31164598614967287,,,,133.75685258368185,134.65042174570996,,0,-0.18600000000000705,,0,1.289999999999992,,1.289999999999992,1.1099999999999852,1.1099999999999852,0.0800000000000125,0.09999999999999432,6,0,6,2024-09-01,0,0,0,1,down
2024-09-01 07:00:00,1725174000,132.69,133.0,132.1,132.81,106404.247,132.7,131.59,0.0008289374529013571,-0.006730984967466935,132.976,,0.008899661428281696,,134.07,131.59,,-0.671133783580899,-0.3835435456359181,,,,133.58469756846696,134.53168485888997,,0,-0.22999999999998977,,0,0.9000000000000057,,0.9000000000000057,0.12000000000000455,0.12000000000000455,0.18999999999999773,0.5900000000000034,7,0,6,2024-09-01,0,0,0,1,down
2024-09-01 08:00:00,1725177600,132.81,132.84,131.14,131.46,104191.27500000001,132.81,132.7,-0.010164897221594749,-0.0009879170149706962,132.454,,0.009462734206463066,,133.71,131.46,,-0.8048577926697362,-0.46780639504268173,,,,133.19838891965478,134.3335116421874,,0,-0.5219999999999914,,0,1.700000000000017,,1.700000000000017,-1.3499999999999943,1.3499999999999943,0.030000000000001137,0.3200000000000216,8,0,6,2024-09-01,0,0,0,1,down
2024-09-01 09:00:00,1725181200,131.45,132.25,130.78,131.22,131062.70600000002,131.46,132.81,-0.0018256503879507946,-0.011152976639035361,131.956,133.051,0.009497794909189618,,132.81,131.22,,-0.9196004460280278,-0.558165205239751,,,,132.8386818433539,134.1326399233366,,0,-0.49800000000001887,91164.20590000002,0,1.4699999999999989,,1.4699999999999989,-0.22999999999998977,0.22999999999998977,0.8000000000000114,0.4399999999999977,9,0,6,2024-09-01,0,0,0,1,down
