datetime,timestamp,open,high,low,close,volume,close_lag_1,close_lag_2,return_1,return_3,ma_5,ma_10,volatility_5,volatility_10,roll_max_5,roll_min_5,rsi_14,macd,macd_signal,bb_middle,bb_upper,bb_lower,ema_10,ema_30,roc_10,golden_cross,slope_ma_5,volume_ma,volume_spike,tr,atr_14,hl_spread,co_spread,body_size,upper_wick,lower_wick,hour,minute,dayofweek,date,Upward,Downward,trend_target,combined_target
2024-09-01 00:00:00,1725148800,135.35,135.62,134.97,135.11,14406.198999999997,,,,,,,,,,,,0.0,0.0,,,,135.11,135.11,,0,,,0,0.6500000000000057,,0.6500000000000057,-0.23999999999998067,0.23999999999998067,0.27000000000001023,0.14000000000001478,0,0,6,2024-09-01,0,0,0,1
2024-09-01 00:30:00,1725150600,135.12,135.52,135.03,135.36,9799.769000000002,135.11,,0.001850344164014528,,,,,,,,,0.019943019943042373,0.003988603988608475,,,,135.15545454545455,135.1261290322581,,0,,,0,0.4900000000000091,,0.4900000000000091,0.2400000000000091,0.2400000000000091,0.1599999999999966,0.09000000000000341,0,30,6,2024-09-01,0,-1,-1,0
2024-09-01 01:00:00,1725152400,135.37,135.5,134.65,134.65,16723.635,135.36,135.11,-0.005245271867612367,,,,,,,,,-0.021297554402963215,-0.0010686276897058631,,,,135.06355371900827,135.09541103017693,,0,,,0,0.8499999999999943,,0.8499999999999943,-0.7199999999999989,0.7199999999999989,0.12999999999999545,0.0,1,0,6,2024-09-01,0,0,0,1
2024-09-01 01:30:00,1725154200,134.65,134.82,133.5,133.63,55422.58500000001,134.65,135.36,-0.007575194949870134,-0.010954037450966014,,,,,,,,-0.1347333598945113,-0.027801574130666952,,,,134.80290758827948,135.00086838306873,,0,,,0,1.3199999999999932,,1.3199999999999932,-1.0200000000000102,1.0200000000000102,0.1699999999999875,0.12999999999999545,1,30,6,2024-09-01,0,0,0,1
2024-09-01 02:00:00,1725156000,133.62,133.66,132.88,133.01,86046.549,133.63,134.65,-0.004639676719299546,-0.01736111111111127,134.352,,,,135.36,133.01,,-0.27153083303014114,-0.0765474259105618,,,,134.47692439041046,134.87242526158045,,0,,,0,0.7800000000000011,,0.7800000000000011,-0.6100000000000136,0.6100000000000136,0.03999999999999204,0.12999999999999545,2,0,6,2024-09-01,1,0,1,2
2024-09-01 02:30:00,1725157800,133.0,133.96,132.88,133.96,59492.992999999995,133.01,133.63,0.007142320126306334,-0.0051243965837356464,134.122,,0.006052270749632052,,135.36,133.01,,-0.29983049622151725,-0.12120403997275289,,,,134.38293813760856,134.81355911567204,,0,-0.22999999999998977,,0,1.0800000000000125,,1.0800000000000125,0.960000000000008,0.960000000000008,0.0,0.12000000000000455,2,30,6,2024-09-01,0,0,0,1
2024-09-01 03:00:00,1725159600,133.96,134.46,133.7,134.29,22438.022,133.96,133.01,0.002463421916990116,0.004939010701189739,133.908,,0.006147477436251554,,134.65,133.01,,-0.29226093893586835,-0.15541541976537598,,,,134.366040294407,134.77978110820933,,0,-0.21400000000002706,,0,0.7600000000000193,,0.7600000000000193,0.3299999999999841,0.3299999999999841,0.17000000000001592,0.2600000000000193,3,0,6,2024-09-01,0,0,0,1
2024-09-01 03:30:00,1725161400,134.29,134.38,133.93,134.07,14976.542,134.29,133.96,-0.001638245587906706,0.007969325614615386,133.792,,0.0058109201569300824,,134.29,133.01,,-0.3005496226700757,-0.18444226034631594,,,,134.31221478633296,134.73398877864744,,0,-0.11599999999998545,,0,0.44999999999998863,,0.44999999999998863,-0.21999999999999886,0.21999999999999886,0.09000000000000341,0.13999999999998636,3,30,6,2024-09-01,0,0,0,1
2024-09-01 04:00:00,1725163200,134.07,134.07,133.33,133.79,17287.717000000004,134.07,134.29,-0.0020884612515850165,-0.0012690355329950664,133.824,,0.004619147689303808,,134.29,133.01,,-0.32595472106388,-0.21274475248982877,,,,134.21726664336333,134.67308627679924,,0,0.03200000000001069,,0,0.7399999999999807,,0.7399999999999807,-0.28000000000000114,0.28000000000000114,0.0,0.45999999999997954,4,0,6,2024-09-01,0,0,0,1
2024-09-01 04:30:00,1725165000,133.78,134.09,133.5,133.71,15538.001,133.79,134.07,-0.0005979520143507555,-0.004319011095390457,133.964,134.158,0.0038375214010509143,,134.29,133.71,,-0.34852618309818695,-0.23990103861150042,,,,134.12503634457,134.6109516782961,,0,0.13999999999998636,31213.2012,0,0.5900000000000034,,0.5900000000000034,-0.06999999999999318,0.06999999999999318,0.3100000000000023,0.21000000000000796,4,30,6,2024-09-01,0,0,0,1
