datetime,timestamp,open,high,low,close,volume,overall_sentiment_score,sol_sentiment_score,overall_sentiment_0min_avg,sol_sentiment_0min_avg,overall_sentiment_0min_prev,sol_sentiment_0min_prev,overall_sentiment_1min_avg,sol_sentiment_1min_avg,overall_sentiment_1min_prev,sol_sentiment_1min_prev,overall_sentiment_2min_avg,sol_sentiment_2min_avg,overall_sentiment_2min_prev,sol_sentiment_2min_prev,overall_sentiment_3min_avg,sol_sentiment_3min_avg,overall_sentiment_3min_prev,sol_sentiment_3min_prev,overall_sentiment_4min_avg,sol_sentiment_4min_avg,overall_sentiment_4min_prev,sol_sentiment_4min_prev,overall_sentiment_5min_avg,sol_sentiment_5min_avg,overall_sentiment_5min_prev,sol_sentiment_5min_prev,overall_sentiment_6min_avg,sol_sentiment_6min_avg,overall_sentiment_6min_prev,sol_sentiment_6min_prev,overall_sentiment_7min_avg,sol_sentiment_7min_avg,overall_sentiment_7min_prev,sol_sentiment_7min_prev,overall_sentiment_8min_avg,sol_sentiment_8min_avg,overall_sentiment_8min_prev,sol_sentiment_8min_prev,overall_sentiment_9min_avg,sol_sentiment_9min_avg,overall_sentiment_9min_prev,sol_sentiment_9min_prev,overall_sentiment_10min_avg,sol_sentiment_10min_avg,overall_sentiment_10min_prev,sol_sentiment_10min_prev,overall_sentiment_11min_avg,sol_sentiment_11min_avg,overall_sentiment_11min_prev,sol_sentiment_11min_prev,overall_sentiment_12min_avg,sol_sentiment_12min_avg,overall_sentiment_12min_prev,sol_sentiment_12min_prev,overall_sentiment_13min_avg,sol_sentiment_13min_avg,overall_sentiment_13min_prev,sol_sentiment_13min_prev,overall_sentiment_0hour_avg,sol_sentiment_0hour_avg,overall_sentiment_0hour_prev,sol_sentiment_0hour_prev,overall_sentiment_1hour_avg,sol_sentiment_1hour_avg,overall_sentiment_1hour_prev,sol_sentiment_1hour_prev,overall_sentiment_2hour_avg,sol_sentiment_2hour_avg,overall_sentiment_2hour_prev,sol_sentiment_2hour_prev,overall_sentiment_3hour_avg,sol_sentiment_3hour_avg,overall_sentiment_3hour_prev,sol_sentiment_3hour_prev,overall_sentiment_0day_avg,sol_sentiment_0day_avg,overall_sentiment_0day_prev,sol_sentiment_0day_prev,overall_sentiment_1day_avg,sol_sentiment_1day_avg,overall_sentiment_1day_prev,sol_sentiment_1day_prev,overall_sentiment_2day_avg,sol_sentiment_2day_avg,overall_sentiment_2day_prev,sol_sentiment_2day_prev,overall_sentiment_3day_avg,sol_sentiment_3day_avg,overall_sentiment_3day_prev,sol_sentiment_3day_prev,overall_sentiment_4day_avg,sol_sentiment_4day_avg,overall_sentiment_4day_prev,sol_sentiment_4day_prev,overall_sentiment_5day_avg,sol_sentiment_5day_avg,overall_sentiment_5day_prev,sol_sentiment_5day_prev,close_lag_1,close_lag_2,return_1,return_3,ma_5,ma_10,volatility_5,volatility_10,roll_max_5,roll_min_5,rsi_14,macd,macd_signal,bb_middle,bb_upper,bb_lower,ema_10,ema_30,roc_10,golden_cross,slope_ma_5,volume_ma,volume_spike,tr,atr_14,hl_spread,co_spread,body_size,upper_wick,lower_wick,hour,minute,dayofweek,date,Upward,Downward,trend_target,combined_target,trend_label
2024-09-01,1725148800,135.35,136.15,127.66,128.5,2928444.7410000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,128.5,128.5,,0,,,0,8.490000000000009,,8.490000000000009,-6.849999999999994,6.849999999999994,0.8000000000000114,0.8400000000000034,0,0,6,2024-09-01,0,0,0,1,none
2024-09-02,1725235200,128.5,135.39,126.8,134.94,3146315.554,0.055884674999999995,0.07447770000000001,0.055884674999999995,0.07447770000000001,0.0,0.0,0.055861154513888886,0.07444635416666667,0.0,0.0,0.05583763402777777,0.07441500833333334,0.0,0.0,0.05581411354166666,0.0743836625,0.0,0.0,0.055790593055555546,0.07435231666666667,0.0,0.0,0.05576707256944444,0.07432097083333333,0.0,0.0,0.05574355208333333,0.07428962500000001,0.0,0.0,0.05572003159722221,0.07425827916666668,0.0,0.0,0.055696511111111104,0.07422693333333334,0.0,0.0,0.055672990625,0.07419558750000001,0.0,0.0,0.05564947013888888,0.07416424166666667,0.0,0.0,0.05562594965277778,0.07413289583333334,0.0,0.0,0.05560242916666667,0.07410155,0.0,0.0,0.05557890868055555,0.07407020416666667,0.0,0.0,0.05449696631944444,0.07262829583333334,0.0,0.0,0.053085737152777764,0.07074754583333334,0.0,0.0,0.051674507986111104,0.06886679583333334,0.0,0.0,0.05026327881944443,0.06698604583333334,0.0,0.0,0.023071832838541622,0.03074791156249997,0.0,0.0,1.9404401041666597e-05,2.5860312499999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5,,0.05011673151750973,,,,,,,,,0.5137321937321815,0.1027464387464363,,,,129.67090909090908,128.91548387096776,,0,,,0,8.58999999999999,,8.58999999999999,6.439999999999998,6.439999999999998,0.44999999999998863,1.7000000000000028,0,0,0,2024-09-02,0,0,0,1,none
2024-09-03,1725321600,134.95,138.13,127.15,127.54,2627381.925,0.15946952430555553,0.11312544236111112,0.15946952430555553,0.11312544236111112,0.067739,0.090276,0.15943094965277776,0.11311583368055557,0.067739,0.090276,0.15939237499999998,0.11310622500000002,0.067739,0.090276,0.15935380034722219,0.11309661631944444,0.067739,0.090276,0.1593152256944444,0.11308700763888889,0.067739,0.090276,0.15927665104166663,0.11307739895833334,0.067739,0.090276,0.15923807638888887,0.11306779027777779,0.067739,0.090276,0.15919950173611108,0.11305818159722224,0.067739,0.090276,0.1591609270833333,0.11304857291666667,0.067739,0.090276,0.15912235243055553,0.11303896423611112,0.067739,0.090276,0.15908377777777774,0.11302935555555556,0.067739,0.090276,0.15904520312499998,0.11301974687500002,0.067739,0.090276,0.1590066284722222,0.11301013819444444,0.067739,0.090276,0.1589680538194444,0.11300052951388889,0.067739,0.090276,0.15719361979166663,0.11255853020833333,0.067739,0.090276,0.15487914062499997,0.11198200937500001,0.067739,0.090276,0.1525646614583333,0.11140548854166667,0.067739,0.090276,0.15025018229166662,0.11082896770833332,0.067739,0.090276,0.10460840567660103,0.09834039691309794,0.0,0.0,0.06384011925757133,0.06454415423779895,0.0,0.0,4.985050909850819e-05,4.3426653324331254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.94,128.5,-0.05483918778716457,,,,,,,,,0.32006103846558176,0.1462093586902654,,,,129.28347107438015,128.8267429760666,,0,,,0,10.97999999999999,,10.97999999999999,-7.409999999999982,7.409999999999982,3.180000000000007,0.39000000000000057,0,0,1,2024-09-03,0,0,0,1,none
2024-09-04,1725408000,127.54,134.98,122.6,133.64,3814059.109,0.17362597013888886,0.11944091527777778,0.17362597013888886,0.11944091527777778,0.178834,0.117949,0.1736405177083333,0.11943674791666668,0.178834,0.117949,0.17365506527777774,0.11943258055555554,0.178834,0.117949,0.17366961284722218,0.11942841319444446,0.178834,0.117949,0.17368416041666665,0.11942424583333333,0.178834,0.117949,0.1736987079861111,0.11942007847222223,0.178834,0.117949,0.1737132555555555,0.1194159111111111,0.178834,0.117949,0.17372780312499997,0.11941174375,0.178834,0.117949,0.1737423506944444,0.1194075763888889,0.178834,0.117949,0.17375689826388885,0.11940340902777778,0.178834,0.117949,0.1737714458333333,0.11939924166666667,0.178834,0.117949,0.17378599340277776,0.11939507430555556,0.178834,0.117949,0.1738005409722222,0.11939090694444446,0.178834,0.117949,0.17381508854166663,0.11938673958333332,0.178834,0.117949,0.17448427673611108,0.11919504097222222,0.178834,0.117949,0.17535713090277774,0.11894499930555556,0.178834,0.117949,0.1762299850694444,0.11869495763888889,0.178834,0.117949,0.1768809888020833,0.11850846822916668,0.178834,0.117949,0.1768275540629822,0.11762353310426311,0.067739,0.090276,0.14071797986979162,0.10798196500868053,0.0,0.0,0.10150259752604163,0.08223728052662033,0.0,0.0,6.753127941743827e-05,5.330626000675153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.54,134.94,0.04782813235063488,0.039999999999999813,,,,,,,,0.6512866457243263,0.24722481609707758,,,,130.07556724267465,129.1372756872881,,0,,,0,12.379999999999995,,12.379999999999995,6.09999999999998,6.09999999999998,1.3400000000000034,4.940000000000012,0,0,2,2024-09-04,0,-1,-1,0,down
2024-09-05,1725494400,133.64,135.58,127.85,129.41,2762037.052,0.26632273749999996,0.19599875625000002,0.26632273749999996,0.19599875625000002,0.136937,0.129951,0.26625555902777776,0.19596446354166672,0.136937,0.129951,0.2661883805555555,0.19593017083333336,0.136937,0.129951,0.2661212020833333,0.19589587812500003,0.136937,0.129951,0.26605402361111113,0.1958615854166667,0.136937,0.129951,0.2659868451388888,0.19582729270833335,0.136937,0.129951,0.26591966666666667,0.19579300000000002,0.136937,0.129951,0.26585248819444446,0.1957587072916667,0.136937,0.129951,0.2657853097222222,0.19572441458333334,0.136937,0.129951,0.26571813125,0.19569012187500004,0.136937,0.129951,0.2656509527777778,0.1956558291666667,0.136937,0.129951,0.2655837743055555,0.19562153645833336,0.136937,0.129951,0.2655165958333333,0.19558724375000003,0.136937,0.129951,0.2654494173611111,0.1955529510416667,0.136937,0.129951,0.26235920763888887,0.19397548645833337,0.136937,0.129951,0.2583284993055555,0.19191792395833338,0.136937,0.129951,0.2542977909722222,0.18986036145833335,0.178834,0.117949,0.25048893307291664,0.18773924670138892,0.178834,0.117949,0.19629670601562496,0.14746048967881942,0.178834,0.117949,0.1865621300393036,0.13254201139154123,0.067739,0.090276,0.15924422191840273,0.12114147323206015,0.0,0.0,0.12520112464843747,0.0985430828146701,0.0,0.0,9.101429263117277e-05,6.986705748456785e-05,0.0,0.0,0.0,0.0,0.0,0.0,133.64,127.54,-0.03165219994013757,-0.040981176819327114,130.80599999999998,,,,134.94,127.54,,0.565935920405991,0.3109670369588603,,,,129.9545550167338,129.15487080423728,,0,,,0,7.730000000000018,,7.730000000000018,-4.22999999999999,4.22999999999999,1.9400000000000261,1.5600000000000023,0,0,3,2024-09-05,0,0,0,1,down
2024-09-06,1725580800,129.4,134.29,120.0,125.05,5494252.370000001,0.33041099999999995,0.22871400000000006,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.3198186343923611,0.2233068972135417,0.136937,0.129951,0.25805767020399306,0.18538369344618053,0.178834,0.117949,0.23098096482365607,0.16279697333220805,0.067739,0.090276,0.19938782503689229,0.14668282922743053,0.0,0.0,0.16412462659722218,0.1234958456944444,0.0,0.0,0.00011408725774819958,8.46940756815843e-05,0.0,0.0,129.41,133.64,-0.03369136851866161,-0.019523286811980678,130.116,,0.04961002630903635,,134.94,125.05,,0.14481001401236426,0.2777356323695611,,,,129.06281774096402,128.89004042977035,,0,-0.6899999999999693,,0,14.289999999999992,,14.289999999999992,-4.3500000000000085,4.3500000000000085,4.889999999999986,5.049999999999997,0,0,4,2024-09-06,1,0,1,2,down
2024-09-07,1725667200,125.05,129.5,124.13,127.71,2111596.965,0.33041099999999995,0.22871400000000006,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.3251148171961805,0.22601044860677086,0.136937,0.129951,0.28217544680266204,0.19982712896412033,0.178834,0.117949,0.2558384736177421,0.179276229999156,0.067739,0.090276,0.22559246002951383,0.1630890633819444,0.0,0.0,0.19183902216435184,0.14103220474537034,0.0,0.0,125.05,129.41,0.021271491403438647,-0.044372942232864365,128.67000000000002,,0.04290226071113915,,133.64,125.05,,0.02541154018243219,0.22727081393213533,,,,128.81685087897057,128.81390878914002,,0,-1.445999999999998,,0,5.3700000000000045,,5.3700000000000045,2.6599999999999966,2.6599999999999966,1.7900000000000063,0.9200000000000017,0,0,5,2024-09-07,0,0,0,1,up
2024-09-08,1725753600,127.72,131.7,126.61,130.15,1971919.866,0.33041099999999995,0.22871400000000006,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.33041099999999995,0.22871400000000006,0.330411,0.228714,0.32688021146412033,0.22691163240451392,0.136937,0.129951,0.29423433510199654,0.2070488467230902,0.178834,0.117949,0.2707529788941937,0.1891637839993248,0.067739,0.090276,0.24306221669126155,0.174026552818287,0.0,0.0,127.71,125.05,0.019105786547647163,0.005718259794451841,129.192,,0.035838090704937195,,133.64,125.05,,0.12622001179508402,0.20706065350472508,,,,129.05924162824863,128.90010822209874,,0,0.5219999999999914,,0,5.089999999999989,,5.089999999999989,2.430000000000007,2.430000000000007,1.549999999999983,1.1099999999999994,0,0,6,2024-09-08,0,0,0,1,up
2024-09-09,1725840000,130.15,137.09,126.96,135.08,3664956.8779999996,0.179563975,0.17004039166666665,0.179563975,0.17004039166666665,0.330411,0.228714,0.1796297895833333,0.17006599097222222,0.330411,0.228714,0.17969560416666666,0.17009159027777776,0.330411,0.228714,0.17976141875,0.1701171895833333,0.330411,0.228714,0.17982723333333334,0.1701427888888889,0.330411,0.228714,0.17989304791666663,0.17016838819444444,0.330411,0.228714,0.17995886249999998,0.17019398749999998,0.330411,0.228714,0.1800246770833333,0.17021958680555552,0.330411,0.228714,0.18009049166666663,0.1702451861111111,0.330411,0.228714,0.18015630624999998,0.17027078541666665,0.330411,0.228714,0.18022212083333333,0.1702963847222222,0.330411,0.228714,0.18028793541666666,0.17032198402777776,0.330411,0.228714,0.18035374999999998,0.17034758333333333,0.330411,0.228714,0.18041956458333333,0.17037318263888887,0.330411,0.228714,0.18344703541666665,0.17155075069444442,0.330411,0.228714,0.18739591041666664,0.17308670902777776,0.330411,0.228714,0.19134478541666664,0.1746226673611111,0.330411,0.228714,0.19529366041666663,0.17615862569444443,0.330411,0.228714,0.2703340771961805,0.20534642057002314,0.330411,0.228714,0.30037253859809027,0.21703021028501154,0.330411,0.228714,0.3103853590653935,0.2209248068566744,0.330411,0.228714,0.3127436778971354,0.22152032944589115,0.136937,0.129951,0.2894542835208333,0.20670836149247684,0.178834,0.117949,0.2706831619445248,0.19186089009444116,0.067739,0.090276,130.15,127.71,0.037879369957741105,0.08020791683326678,129.48,,0.03299990395463449,,135.08,125.05,,0.5970389566563483,0.2850563141350497,,,,130.15392496856705,129.2988109174472,,0,0.2879999999999825,,0,10.13000000000001,,10.13000000000001,4.930000000000007,4.930000000000007,2.009999999999991,3.190000000000012,0,0,0,2024-09-09,0,0,0,1,up
2024-09-10,1725926400,135.07,138.0,132.5,135.63,2305171.2199999997,0.24786666666666665,0.13606741666666666,0.24786666666666665,0.13606741666666666,0.140865,0.154988,0.2478175833333333,0.13607609583333333,0.140865,0.154988,0.24776849999999997,0.13608477500000002,0.140865,0.154988,0.24771941666666666,0.13609345416666668,0.140865,0.154988,0.24767033333333335,0.13610213333333335,0.140865,0.154988,0.24762125000000001,0.1361108125,0.140865,0.154988,0.24757216666666665,0.13611949166666668,0.140865,0.154988,0.24752308333333334,0.13612817083333334,0.140865,0.154988,0.24747400000000003,0.13613685,0.140865,0.154988,0.24742491666666666,0.13614552916666667,0.140865,0.154988,0.24737583333333335,0.13615420833333333,0.140865,0.154988,0.24732675,0.13616288750000002,0.140865,0.154988,0.24727766666666667,0.1361715666666667,0.140865,0.154988,0.24722858333333333,0.13618024583333335,0.140865,0.154988,0.24497075,0.1365794875,0.140865,0.154988,0.24202575,0.1371002375,0.140865,0.154988,0.23908074999999998,0.13762098749999999,0.140865,0.154988,0.23613575,0.1381417375,0.140865,0.154988,0.18533639514178238,0.14935188692418977,0.330411,0.228714,0.22783523616898146,0.17734915374710644,0.330411,0.228714,0.2620271574459876,0.1944707691647376,0.330411,0.228714,0.27912311808449075,0.20303157687355322,0.330411,0.228714,0.2872622213460648,0.2070866409415509,0.136937,0.129951,0.2721013021243249,0.19714894906442895,0.178834,0.117949,135.08,130.15,0.004071661237784907,0.0620155038759691,130.724,130.76500000000001,0.027069034124310904,,135.63,125.05,,1.0029849794774748,0.4286420472035347,,,,131.14957497428213,129.70727472922482,,0,1.2439999999999998,3082613.568,0,5.5,,5.5,0.5600000000000023,0.5600000000000023,2.3700000000000045,2.569999999999993,0,0,1,2024-09-10,0,0,0,1,up
